"PK_DHFF_OISEAUX";"CODE_N2000";"CD_NOM";"CD_REF";"NOM_N2000";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"ANNEXE_I";"ANNEXE_II_A";"ANNEXE_II_B";"ANNEXE_III_A";"ANNEXE_III_B";"COMMENTAIRE"
61,00;"A063";"2005";"2005";"Somateria mollissima";;;"Eider à duvet";"N";"N";"Y";"N";"Y";
62,00;"A064";"2790";"2790";"Clangula hyemalis";;;"Harelde de Miquelon, Harelde boréale";"N";"N";"Y";"N";"N";
63,00;"A065";"2794";"2794";"Melanitta nigra";;;"Macreuse noire";"N";"N";"Y";"N";"Y";
64,00;"A066";"2801";"2801";"Melanitta fusca";;;"Macreuse brune";"N";"N";"Y";"N";"N";
65,00;"A067";"2808";"2808";"Bucephala clangula";;;"Garrot à œil d'or";"N";"N";"Y";"N";"N";
66,00;"A068";"2813";"199312";"Mergus albellus";;;"Harle piette";"Y";"N";"N";"N";"N";
67,00;"A069";"2816";"2816";"Mergus serrator";;;"Harle huppé";"N";"N";"Y";"N";"N";
68,00;"A070";"2818";"2818";"Mergus merganser";;;"Harle bièvre";"N";"N";"Y";"N";"N";
69,00;"A071";"2826";"2826";"Oxyura leucocephala";;;"Erismature à tête blanche";"Y";"N";"N";"N";"N";
70,00;"A072";"2832";"2832";"Pernis apivorus";;;"Bondrée apivore";"Y";"N";"N";"N";"N";
71,00;"A073";"2840";"2840";"Milvus migrans";;;"Milan noir";"Y";"N";"N";"N";"N";
72,00;"A074";"2844";"2844";"Milvus milvus";;;"Milan royal";"Y";"N";"N";"N";"N";
73,00;"A075";"2848";"2848";"Haliaeetus albicilla";;;"Pygargue à queue blanche";"Y";"N";"N";"N";"N";
74,00;"A076";"2852";"2852";"Gypaetus barbatus";;;"Gypaète barbu";"Y";"N";"N";"N";"N";
75,00;"A077";"2856";"2856";"Neophron percnopterus";;;"Vautour percnoptère";"Y";"N";"N";"N";"N";
76,00;"A078";"2860";"2860";"Gyps fulvus";;;"Vautour fauve";"Y";"N";"N";"N";"N";
77,00;"A079";"2869";"2869";"Aegypius monachus";;;"Vautour moine";"Y";"N";"N";"N";"N";
78,00;"A080";"2873";"2873";"Circaetus gallicus";;;"Circaète Jean-le-Blanc";"Y";"N";"N";"N";"N";
79,00;"A081";"2878";"2878";"Circus aeruginosus";;;"Busard des roseaux";"Y";"N";"N";"N";"N";
80,00;"A082";"2881";"2881";"Circus cyaneus";;;"Busard Saint-Martin";"Y";"N";"N";"N";"N";
82,00;"A084";"2887";"2887";"Circus pygargus";;;"Busard cendré";"Y";"N";"N";"N";"N";
87,00;"A089";"2636";"836345";"Aquila pomarina";;;"Aigle pomarin";"Y";"N";"N";"N";"N";
88,00;"A090";"2641";"836346";"Aquila clanga";;;"Aigle criard";"Y";"N";"N";"N";"N";
89,00;"A091";"2645";"2645";"Aquila chrysaetos";;;"Aigle royal";"Y";"N";"N";"N";"N";
90,00;"A092";"2651";"2651";"Hieraaetus pennatus";;;"Aigle botté";"Y";"N";"N";"N";"N";
91,00;"A093";"2655";"2657";"Hieraaetus fasciatus";;;"Aigle de Bonelli";"Y";"N";"N";"N";"N";
92,00;"A094";"2660";"2660";"Pandion haliaetus";;;"Balbuzard pêcheur";"Y";"N";"N";"N";"N";
93,00;"A095";"2666";"2666";"Falco naumanni";;;"Faucon crécerellette";"Y";"N";"N";"N";"N";
95,00;"A097";"2674";"2674";"Falco vespertinus";;;"Faucon kobez";"Y";"N";"N";"N";"N";
96,00;"A098";"2676";"2676";"Falco columbarius";;;"Faucon émerillon";"Y";"N";"N";"N";"N";
98,00;"A100";"2681";"2681";"Falco eleonorae";;;"Faucon d'Éléonore";"Y";"N";"N";"N";"N";
