"PK_DHFF_ESPECE";"CODE_N2000";"CD_NOM";"CD_REF";"ST_TAXON";"NOM_EVAL_2013";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"NIV_TAX";"PRIORITAIRE";"ANNEXE_II";"ANNEXE_IV";"ANNEXE_V";"ALP";"ATL";"CON";"MED";"MATL";"MMED";"TERRE";"MER";"COMMENTAIRE";"NOM_DIRECTIVE"
162,00;"1361";"60612";"60612";"NV";"Lynx lynx";"Lynx lynx";"(Linnaeus, 1758)";"Lynx Boréal";"Mammifères";"false";"Y";"Y";"N";1,00;;1,00;6,00;;;"true";"false";"MAR-MED. Change from N to MAR suggested";"Lynx lynx"
164,00;"1364";"60776";"60776";"NV";"Halichoerus grypus";"Halichoerus grypus";"(Fabricius, 1791)";"Phoque gris";"Mammifères";"false";"Y";"N";"Y";;;;;1,00;;"false";"true";;"Halichoerus grypus"
165,00;"1365";"60811";"60811";"NV";"Phoca vitulina";"Phoca vitulina";"Linnaeus, 1758";"Phoque veau-marin";"Mammifères";"false";"Y";"N";"Y";;;;;1,00;;"false";"true";;"Phoca vitulina"
166,00;"1367";"61021";"61021";"NV";"Cervus elaphus corsicanus";"Cervus elaphus corsicanus";"Erxleben, 1777";"Cerf de Corse";"Mammifères";"true";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Cervus elaphus corsicanus"
168,00;"1373";"199194";"199194";"NV";"Ovis gmelini musimon";"Ovis gmelini musimon";"(Beyth, 1841)";"Mouflon de Corse";"Mammifères";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";"Statut TaxRef à revoir: Mouton domestique.";"Ovis gmelini musimon (Ovis ammon musimon)"
172,00;"1379";"6159";"6159";"NV";"Mannia triandra";"Mannia triandra";"(Scop.) Grolle";;"Plantes";"false";"Y";"N";"N";;;1,00;1,00;;;"true";"false";;"Mannia triandra"
173,00;"1381";"4763";"4763";"NV";"Dicranum viride";"Dicranum viride";"(Sull. & Lesq.) Lindb.";"Dicrane vert";"Plantes";"false";"Y";"N";"N";1,00;1,00;1,00;;;;"true";"false";;"Dicranum viride"
174,00;"1383";"5081";"5081";"NV";"Dichelyma capillaceum";"Dichelyma capillaceum";"(L. ex Dicks.) Myrin";"Fontinale chevelue";"Plantes";"false";"Y";"N";"N";;1,00;;;;;"true";"false";;"Dichelyma capillaceum"
175,00;"1384";"6207";"6207";"NV";"Riccia breidleri";"Riccia breidleri";"Jur. ex Steph.";"Riccie de Breidler";"Plantes";"false";"Y";"N";"N";1,00;;;;;;"true";"false";;"Riccia breidleri"
176,00;"1385";"4797";"4797";"NV";"Bruchia vogesiaca";"Bruchia vogesiaca";"Nestl. ex Schwägr.";"Bruchie des Vosges";"Plantes";"false";"Y";"N";"N";;;1,00;;;;"true";"false";;"Bruchia vogesiaca"
177,00;"1386";"3885";"3885";"NV";"Buxbaumia viridis";"Buxbaumia viridis";"(Moug. ex Lam. & DC.) Brid. ex Moug. & Nestl.";"Buxbaumie verte";"Plantes";"false";"Y";"N";"N";1,00;;1,00;1,00;;;"true";"false";;"Buxbaumia viridis"
178,00;"1387";"5036";"5036";"NV";"Orthotrichum rogeri";"Orthotrichum rogeri";"Brid.";"Orthotric de Roger";"Plantes";"false";"Y";"N";"N";1,00;;1,00;;;;"true";"false";"Zone biogéographique à confirmer";"Orthotrichum rogeri"
179,00;"1391";"6131";"6131";"NV";"Riella helicophylla";"Riella helicophylla";"(Bory el Mont.) Mont.";;"Plantes";"false";"Y";"N";"N";;;;1,00;;;"true";"false";;"Riella helicophylla"
181,00;"1398";"433956";"433956";"NV";"Sphagnum pylaesii";"Sphagnum pylaesii";"Brid.";"Sphaigne de La Pylaie";"Plantes";"false";"Y";"N";"N";;1,00;;;;;"true";"false";;"Sphagnum pylaisii"
185,00;"1416";"103832";"103832";"NV";"Isoetes boryana";"Isoetes boryana";"Durieu, 1861";"Isoète de Bory";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Isoetes boryana"
186,00;"1419";"86199";"86199";"NV";"Botrychium simplex";"Botrychium simplex";"E.Hitchc., 1823";"Botryche simple";"Plantes";"false";"Y";"Y";"N";1,00;;1,00;1,00;;;"true";"false";;"Botrychium simplex"
187,00;"1421";"127178";"128510";"SY";"Trichomanes speciosum";"Vandenboschia speciosa";"(Willd.) Kunkel, 1966";"Trichomanès remarquable";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Trichomanes speciosum"
188,00;"1423";"84494";"84494";"NV";"Asplenium jahandiezii";"Asplenium jahandiezii";"(Litard.) Rouy, 1913";"Doradille du Verdon";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Asplenium jahandiezii"
189,00;"1426";"130133";"130133";"NV";"Woodwardia radicans";"Woodwardia radicans";"(L.) Sm., 1793";"Woodwardia radicant";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Woodwardia radicans"
190,00;"1428";"107407";"107407";"NV";"Marsilea quadrifolia";"Marsilea quadrifolia";"L., 1753";"Marsilée à quatre feuilles";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Marsilea quadrifolia"
191,00;"1429";"107409";"107409";"NV";"Marsilea strigosa";"Marsilea strigosa";"Willd., 1810";"Fougère d'eau pubescente à quatre feuilles";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Marsilea strigosa"
192,00;"1441";"119582";"119582";"NV";"Rumex rupestris";"Rumex rupestris";"Le Gall, 1850";"Oseille des rochers";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Rumex rupestris"
193,00;"1453";"83636";"83636";"NV";"Arenaria provincialis";"Arenaria provincialis";"Chater & G.Halliday, 1964";"Sabline de Provence";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Arenaria provincialis"
194,00;"1465";"123672";"123672";"NV";"Silene velutina";"Silene velutina";"Pourr. ex Loisel., 1809";"Silène velouté";"Plantes";"true";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Silene velutina"
196,00;"1474";"718895";"83261";"SY";"Aquilegia bertolonii";"Aquilegia bertolonii";"auct. non Schott, 1853";"Ancolie de Bertoloni";"Plantes";"false";"Y";"Y";"N";15,00;;;15,00;;;"true";"false";"demande CTE/DB : Séparation de Aquilegia bertolonii Schott, endémique toscane, et de A. reuteri Boiss., endémique provençale. Rapportage pour A. bertolonii ou les 2 espèces ? Adopter approche commune avec l'Italie";"Aquilegia bertolonii"
199,00;"1493";"123905";"717179";"SY";"Sisymbrium supinum";"Sisymbrium supinum";"L., 1753";"Sisymbre couché";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Sisymbrium supinum"
200,00;"1496";"86380";"86380";"NV";"Brassica insularis";"Brassica insularis";"Moris, 1837";"Chou insulaire";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Brassica insularis"
201,00;"1506";"86056";"86056";"NV";"Biscutella neustriaca";"Biscutella neustriaca";"Bonnet, 1879";"Biscutelle de Neustrie";"Plantes";"true";"Y";"Y";"N";;15,00;;;;;"true";"false";"demande CTE/DB : serait désormais à inclure dans B. laevigata subsp. varia, étendre le statut de B. neustriaca à l'ensemble de B. laevigata subsp. varia pour le rapportage ? Adopter approche commune avec l'Allemagne et la Belgique";"Biscutella neustriaca"
202,00;"1508";"81933";"103008";"SY";"Alyssum pyrenaicum";"Hormathophylla pyrenaica";"(Lapeyr.) Dudley & Cullen, 1965";"Alysson des Pyrénées";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Alyssum pyrenaicum"
204,00;"1527";"121054";"121054";"NV";"Saxifraga florulenta";"Saxifraga florulenta";"Moretti, 1823";"Saxifrage à fleurs nombreuses";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Saxifraga florulenta"
