"FPK_NATURA";"SITECODE";"CD_INSEE";"NUTS";"LB_ADM";"CD_INSEE_REG_NEW";"LB_REG_NEW"
7926,00;"FR2100318";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7927,00;"FR2100326";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7928,00;"FR2100332";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7929,00;"FR2100339";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7930,00;"FR2100620";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7930,00;"FR2100620";"41";"FR41";"LORRAINE";"44";"Grand-Est"
7932,00;"FR2300128";"23";"FR23";"HAUTE-NORMANDIE";"28";"Normandie"
7933,00;"FR2600965";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7936,00;"FR2601011";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7937,00;"FR2601015";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7938,00;"FR4100199";"41";"FR41";"LORRAINE";"44";"Grand-Est"
7939,00;"FR4100203";"41";"FR41";"LORRAINE";"44";"Grand-Est"
7940,00;"FR4100204";"41";"FR41";"LORRAINE";"44";"Grand-Est"
7941,00;"FR4201796";"42";"FR42";"ALSACE";"44";"Grand-Est"
7942,00;"FR4212813";"42";"FR42";"ALSACE";"44";"Grand-Est"
7945,00;"FR4301317";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7946,00;"FR4301322";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7947,00;"FR4301334";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7948,00;"FR4301351";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
