"PK_OWNERSHIP";"FPK_NATURA";"SITECODE";"TYPE";"LB_STPRO";"COVER"
"12318";"7198";"FR4312020";"30";"Domaine communal";"0"
"12319";"7198";"FR4312020";"60";"Domaine de l'état";"0"
"12320";"7199";"FR4312021";"01";"Propriété privée (personne physique)";
"12321";"7199";"FR4312021";"30";"Domaine communal";"80"
"12322";"7200";"FR4312026";"01";"Propriété privée (personne physique)";"66"
"12323";"7200";"FR4312026";"30";"Domaine communal";"34"
"12324";"7200";"FR4312026";"60";"Domaine de l'état";"0"
"12325";"7203";"FR4312029";"01";"Propriété privée (personne physique)";"75"
"12326";"7203";"FR4312029";"30";"Domaine communal";"25"
"12334";"7207";"FR7401138";"20";"Collectivité territoriale";"30"
"12335";"7207";"FR7401138";"01";"Propriété privée (personne physique)";"70"
"12336";"7208";"FR7401149";"01";"Propriété privée (personne physique)";"34"
"12337";"7208";"FR7401149";"05";"Propriété d'une association, groupement ou société";"44"
"12338";"7208";"FR7401149";"32";"Domaine public communal";"22"
"12339";"7211";"FR8201663";"00";"Indéterminé";"100"
"12341";"7213";"FR8201781";"01";"Propriété privée (personne physique)";"16"
"12342";"7213";"FR8201781";"05";"Propriété d'une association, groupement ou société";"16"
"12343";"7213";"FR8201781";"20";"Collectivité territoriale";"62"
"12344";"7213";"FR8201781";"00";"Indéterminé";"6"
"12346";"7215";"FR8210016";"00";"Indéterminé";"32"
"12347";"7215";"FR8210016";"01";"Propriété privée (personne physique)";"40"
"12348";"7215";"FR8210016";"05";"Propriété d'une association, groupement ou société";"2,6"
"12349";"7216";"FR8210017";"01";"Propriété privée (personne physique)";
"12350";"7216";"FR8210017";"30";"Domaine communal";
"12351";"7216";"FR8210017";"61";"Domaine privé de l'état";
"12352";"7217";"FR8210018";"01";"Propriété privée (personne physique)";
"12353";"7217";"FR8210018";"30";"Domaine communal";"50"
"12354";"7218";"FR8210032";"01";"Propriété privée (personne physique)";
"12355";"7218";"FR8210032";"05";"Propriété d'une association, groupement ou société";
"12356";"7218";"FR8210032";"20";"Collectivité territoriale";
"12357";"7218";"FR8210032";"50";"Domaine régional";
"12358";"7218";"FR8210032";"62";"Domaine public de l'état";
"12359";"7219";"FR8210041";"01";"Propriété privée (personne physique)";"10"
"12360";"7219";"FR8210041";"10";"Etablissement public";
"12361";"7219";"FR8210041";"31";"Domaine privé communal";"20"
"12362";"7220";"FR8210058";"00";"Indéterminé";
"12363";"7221";"FR8210106";"01";"Propriété privée (personne physique)";"35"
"12364";"7221";"FR8210106";"05";"Propriété d'une association, groupement ou société";"2"
"12365";"7221";"FR8210106";"30";"Domaine communal";"63"
"12366";"7222";"FR8210114";"01";"Propriété privée (personne physique)";"71"
"12367";"7222";"FR8210114";"30";"Domaine communal";"20"
"12368";"7222";"FR8210114";"60";"Domaine de l'état";"9"
"12369";"7223";"FR8212001";"01";"Propriété privée (personne physique)";
"12370";"7223";"FR8212001";"10";"Etablissement public";
"12371";"7223";"FR8212001";"30";"Domaine communal";
"12372";"7223";"FR8212001";"60";"Domaine de l'état";
"12373";"7223";"FR8212001";"61";"Domaine privé de l'état";"100"
"12374";"7224";"FR8212002";"05";"Propriété d'une association, groupement ou société";"24"
"12375";"7224";"FR8212002";"01";"Propriété privée (personne physique)";"3"
"12376";"7224";"FR8212002";"41";"Domaine privé départemental";"1"
"12377";"7224";"FR8212002";"63";"Domaine public fluvial";"72"
"12378";"7225";"FR8212003";"01";"Propriété privée (personne physique)";
"12379";"7225";"FR8212003";"05";"Propriété d'une association, groupement ou société";
"12380";"7225";"FR8212003";"20";"Collectivité territoriale";
"12381";"7226";"FR8212004";"01";"Propriété privée (personne physique)";
"12382";"7226";"FR8212004";"05";"Propriété d'une association, groupement ou société";
"12383";"7226";"FR8212004";"20";"Collectivité territoriale";
"12384";"7226";"FR8212004";"50";"Domaine régional";
"12385";"7226";"FR8212004";"62";"Domaine public de l'état";
"12386";"7227";"FR8212005";"01";"Propriété privée (personne physique)";"25"
"12387";"7227";"FR8212005";"30";"Domaine communal";
"12388";"7227";"FR8212005";"40";"Domaine départemental";"5"
"12389";"7227";"FR8212005";"61";"Domaine privé de l'état";"25"
"12390";"7228";"FR8212006";"01";"Propriété privée (personne physique)";"25"
"12391";"7228";"FR8212006";"30";"Domaine communal";"14"
"12392";"7228";"FR8212006";"61";"Domaine privé de l'état";"61"
"12393";"7229";"FR8212008";"01";"Propriété privée (personne physique)";
"12394";"7229";"FR8212008";"05";"Propriété d'une association, groupement ou société";
"12395";"7229";"FR8212008";"20";"Collectivité territoriale";
"12396";"7229";"FR8212008";"60";"Domaine de l'état";
"12400";"7231";"FR8212010";"10";"Etablissement public";
"12401";"7232";"FR8212012";"01";"Propriété privée (personne physique)";"49"
"12402";"7232";"FR8212012";"05";"Propriété d'une association, groupement ou société";"3"
"12403";"7232";"FR8212012";"20";"Collectivité territoriale";"1"
"12404";"7232";"FR8212012";"50";"Domaine régional";
"12405";"7232";"FR8212012";"61";"Domaine privé de l'état";"2"
"12406";"7232";"FR8212012";"62";"Domaine public de l'état";"34"
"12407";"7233";"FR8212013";"01";"Propriété privée (personne physique)";"27"
"12408";"7233";"FR8212013";"30";"Domaine communal";"55"
"12409";"7235";"FR8212015";"01";"Propriété privée (personne physique)";"40"
"12410";"7235";"FR8212015";"30";"Domaine communal";
"12411";"7235";"FR8212015";"40";"Domaine départemental";"60"
"12412";"7236";"FR8212016";"01";"Propriété privée (personne physique)";
"12413";"7236";"FR8212016";"05";"Propriété d'une association, groupement ou société";
"12414";"7236";"FR8212016";"20";"Collectivité territoriale";
"12415";"7236";"FR8212016";"50";"Domaine régional";
"12416";"7236";"FR8212016";"62";"Domaine public de l'état";
"12417";"7237";"FR8212017";"01";"Propriété privée (personne physique)";
"12418";"7237";"FR8212017";"05";"Propriété d'une association, groupement ou société";
"12419";"7237";"FR8212017";"20";"Collectivité territoriale";
